backend,summary_scope,rows,hmm_ok_rate,bull_pct,neutral_pct,bear_pct,allow_pct,caution_pct,block_pct,avg_confidence,regime_switch_count,fallback_pct,avg_state_prob_margin,avg_regime_prob_margin,avg_fit_seconds,max_fit_seconds,total_fit_seconds,mapping_matched_pct,mapping_score_order_pct,mapping_none_pct,mapping_other_pct,fwd_rows,fwd_bull_n,fwd_bull_mean,fwd_bull_hit,fwd_neutral_n,fwd_neutral_mean,fwd_neutral_hit,fwd_bear_n,fwd_bear_mean,fwd_bear_hit,fwd_regime_spread,fwd_allow_mean,fwd_block_mean,fwd_policy_spread
pomegranate_normal,all,8641,1.0,0.30181691933803956,0.41164217104501793,0.2865409096169425,0.17509547506075684,0.6530494155769008,0.17185510936234233,0.7638251555128457,1189,0.0,0.9996216651156665,0.9996216651156665,0.7653640390801193,4.648281458998099,6613.510661691311,0.9870385372063418,0.012961462793658141,0.0,0.0,8635,2608,0.0009660900189557353,0.5003834355828221,3553,0.00048618296107037534,0.4919786096256685,2474,-9.837442633634981e-05,0.4834276475343573,0.001064464445292085,0.0010062342184262555,-0.00171962282598174,0.0027258570444079954
pomegranate_gmm,all,8641,1.0,0.3020483740307835,0.3920842495081588,0.30586737646105777,0.14570072908228215,0.7010762643212591,0.15322300659645874,0.6732317467942972,1250,0.03356093044786483,0.9980774232362163,0.9980774232362163,1.0472923174929751,3.1197074169758707,9049.652915456798,0.9833352621224395,0.016664737877560468,0.0,0.0,8635,2610,-0.0008481727995651309,0.4827586206896552,3385,0.0007606800880444144,0.4880354505169867,2640,0.0013797050788629246,0.506439393939394,-0.0022278778784280556,-0.0028941135785624517,0.0008946566836275839,-0.0037887702621900356
pomegranate_gmm,pure_gmm,8351,1.0,0.3008022991258532,0.39528200215543047,0.3039156987187163,0.14405460423901328,0.705185007783499,0.15076038797748773,0.6715837083793142,1242,0.0,0.9980113320715619,0.9980113320715619,1.0083661692658286,2.0596239999867976,8420.865879538935,0.9851514788648066,0.01484852113519339,0.0,0.0,8346,2512,-0.00039823246823171034,0.4856687898089172,3299,0.0008489890790544032,0.4898454076993028,2535,0.0017290170058542305,0.5108481262327417,-0.002127249474085941,-0.0022662269071227893,0.0014893039334898204,-0.00375553084061261
pomegranate_gmm,fallback,290,1.0,0.33793103448275863,0.3,0.3620689655172414,0.19310344827586207,0.5827586206896552,0.22413793103448276,0.7206895702547227,82,1.0,0.999980620877698,0.999980620877698,2.1682311583374596,3.1197074169758707,628.7870359178632,0.9310344827586207,0.06896551724137931,0.0,0.0,289,98,-0.012381337210887095,0.40816326530612246,86,-0.0026268938810480613,0.4186046511627907,105,-0.007053682872784327,0.4,-0.005327654338102768,-0.016382464752525205,-0.010614054706013856,-0.0057684100465113484
