timestamp,symbol,timeframe,backend,close,fwd_log_return,hmm_ok,hmm_regime,hmm_policy,hmm_confidence,hmm_bull_prob,hmm_neutral_prob,hmm_bear_prob,hmm_reason,hmm_state_prob_max,hmm_state_prob_min,hmm_state_prob_margin,hmm_regime_prob_margin,hmm_state_prob_entropy,hmm_effective_emission_backend,hmm_mapping_method,fit_seconds
2022-08-03T23:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.04,0.01379332213233577,True,bear,block,1.0,0.0,0.0,1.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,score_order,0.8886318750446662
2022-08-04T03:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.6,0.018472397635442266,True,bear,caution,0.0,0.0,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,0.8809163329424337
2022-08-04T07:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.48,0.01563522237445451,True,bear,block,1.0,0.0,0.0,1.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,0.9740948750404641
2022-08-04T11:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.39,0.053279349945177655,True,bear,caution,0.0,0.0,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,0.9057184580015019
2022-08-04T15:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.4,0.03196235070295856,True,bear,block,1.0,0.0,0.0,1.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,0.7689697499154136
2022-08-04T19:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.15,0.0431174141831486,True,bear,block,1.0,0.0,3.768067230575627e-35,1.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,2.98671764656683e-33,pomegranate_gmm,matched,0.7919843749841675
2022-08-04T23:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.36,0.06584866423750142,True,bear,caution,0.0,1.1683388439941429e-29,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,7.783401496447026e-28,pomegranate_gmm,matched,0.9212812499608845
2022-08-05T03:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,24.04,0.038356395030424754,True,neutral,caution,1.0,0.0,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,0.9018128339666873
2022-08-05T07:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,23.85,0.05505977718302739,True,neutral,caution,1.0,0.0,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,1.045961208990775
2022-08-05T11:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,24.67,0.030341648892762876,True,neutral,caution,1.0,0.0,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,1.050027042045258
2022-08-05T15:00:00+00:00,AVAXUSDT,1h,pomegranate_gmm,24.16,0.06451265159765938,True,neutral,caution,1.0,0.0,1.0,0.0,backend=pomegranate;emission=pomegranate_gmm;gate=regime_filter,1.0,0.0,1.0,1.0,-0.0,pomegranate_gmm,matched,0.9954233749303967
